TriggerID,GRBName,tmin,tmin_err,tmin_upp_lim,tS_N,tS_N_err,T90,T90_err,tStart,tStop,Xtmin,XtS_N,z
110124784,110124A,1.141,0.401,FALSE,0.738,0.064,5.376,2.202,-5.997,4.723,0.86,0.56,NA
110125894,110125A,0.753,NA,TRUE,0.184,0.016,4.800,0.923,-2.520,6.264,0.56,0.22,NA
110128073,110128A,1.594,0.248,FALSE,0.738,0.064,12.160,4.971,-11.843,12.355,0.88,0.41,2.339
110130230,110130A,1.525,NA,TRUE,0.620,0.054,47.360,2.187,-16.863,70.753,0.59,0.47,NA
110131780,110131A,0.252,NA,TRUE,0.092,0.008,0.384,1.478,-0.380,0.383,0.87,0.79,NA
110201399,110201A,1.426,NA,TRUE,0.522,0.045,8.192,0.870,-5.853,10.425,0.67,0.65,NA
110204179,110204A,0.279,0.177,FALSE,0.184,0.016,28.673,6.720,-17.968,39.066,0.28,0.19,NA
110205027,110205B,0.841,0.132,FALSE,0.522,0.045,6.400,3.238,-5.984,6.752,1.01,0.63,NA
110205588,110205C,1.100,0.469,FALSE,0.877,0.076,158.720,2.290,-29.430,170.557,0.76,0.6,NA
110206202,110206B,0.464,0.166,FALSE,0.310,0.027,12.288,1.639,-12.487,11.951,0.86,0.57,NA
110207470,110207A,0.035,NA,TRUE,0.005,0.001,37.888,2.290,-19.642,45.133,0.87,0.42,NA
110207959,110207B,0.662,0.189,FALSE,0.369,0.032,7.680,4.944,-4.570,10.714,0.87,0.48,NA
110209165,110209A,1.042,NA,TRUE,0.310,0.027,5.632,0.916,-6.570,4.670,0.78,0.68,NA
110212550,110212B,0.004,0.001,FALSE,0.003,0.001,0.064,0.036,-0.080,0.048,0.42,0.27,NA
110213220,110213A,0.481,0.046,FALSE,0.155,0.013,34.305,1.639,-17.759,50.155,0.45,0.14,1.46
110213876,110213C,0.072,0.013,FALSE,0.039,0.003,0.320,0.810,-0.286,0.350,1.01,0.55,NA
110217591,110217A,8.528,NA,TRUE,2.087,0.181,60.672,11.611,-17.766,87.176,0.89,0.44,NA
110220761,110220A,0.968,0.099,FALSE,0.219,0.019,33.024,8.738,-18.091,47.619,0.67,0.15,NA
110221244,110221A,2.216,NA,TRUE,0.439,0.038,13.056,1.846,-8.007,17.943,0.64,0.19,NA
110226989,110226A,0.935,0.213,FALSE,0.522,0.045,14.080,0.923,-6.035,18.746,0.49,0.27,NA
110227009,110227A,0.204,NA,TRUE,0.039,0.003,1.728,0.653,-1.051,2.389,0.8,0.54,NA
110227229,110227B,1.162,0.657,FALSE,0.620,0.054,18.432,2.187,-10.154,26.502,0.38,0.2,NA
110227420,110227C,0.834,0.341,FALSE,0.522,0.045,25.600,6.869,-23.936,27.008,0.36,0.23,NA
110228011,110228A,2.126,NA,TRUE,0.439,0.038,44.481,2.834,-30.721,20.031,0.34,0.15,NA
110228792,110228B,4.334,0.930,FALSE,1.476,0.128,17.152,2.360,-12.336,21.772,0.67,0.23,NA
110301214,110301A,0.117,0.007,FALSE,0.027,0.002,5.693,0.362,-2.822,8.538,0.23,0.05,NA
110302043,110302A,1.905,NA,TRUE,0.369,0.032,38.336,2.509,-25.192,46.083,0.7,0.18,NA
110304071,110304A,0.791,NA,TRUE,0.184,0.016,19.520,1.498,-9.333,28.926,0.63,0.25,NA
110307972,110307A,0.101,NA,TRUE,0.016,0.001,2.304,3.444,-2.888,1.642,1.09,0.41,NA
110311812,110311A,1.653,0.372,FALSE,0.620,0.054,6.400,1.639,-4.960,7.776,0.61,0.23,NA
110316139,110316A,0.075,NA,TRUE,0.019,0.002,2.944,2.199,-4.467,1.383,0.94,0.58,NA
110318552,110318A,0.052,0.024,FALSE,0.033,0.003,14.464,1.094,-9.722,17.752,0.19,0.12,NA
110319628,110319C,3.353,1.320,FALSE,1.755,0.152,15.336,1.446,-9.899,20.587,0.55,0.29,NA
110319815,110319B,1.184,0.382,FALSE,0.738,0.064,31.232,5.049,-17.977,44.151,0.65,0.4,NA
110321346,110321A,3.755,0.563,FALSE,1.476,0.128,30.720,10.764,-13.964,41.947,0.76,0.3,NA
110322558,110322A,0.443,NA,TRUE,0.155,0.013,36.097,1.846,-21.973,49.827,0.57,0.49,NA
110328520,110328B,1.131,NA,TRUE,0.219,0.019,141.315,29.767,-32.705,211.743,0.21,0.13,NA
110331604,110331A,0.411,NA,TRUE,0.155,0.013,3.200,0.951,-1.648,4.720,0.52,0.38,NA
110401920,110401A,0.042,0.013,FALSE,0.023,0.002,2.368,1.270,-1.840,2.904,0.59,0.32,NA
110402009,110402A,0.016,0.004,FALSE,0.008,0.001,35.649,1.461,-16.437,54.487,0.63,0.33,NA
110409179,110409A,0.009,0.002,FALSE,0.005,0.001,0.128,0.143,-0.192,0.064,0.61,0.38,NA
110410133,110410A,1.210,NA,TRUE,0.184,0.016,61.952,1.379,-22.963,64.373,0.72,0.27,NA
110410772,110410B,0.282,NA,TRUE,0.155,0.013,8.064,1.368,-8.730,7.310,0.5,0.55,NA
110411629,110411B,4.331,NA,TRUE,0.439,0.038,23.552,1.950,-15.504,31.340,1.11,0.25,NA
110412315,110412A,3.645,0.307,FALSE,1.043,0.090,20.733,4.636,-3.014,30.966,0.54,0.15,NA
110413938,110413A,0.844,NA,TRUE,0.184,0.016,54.272,2.172,-24.129,70.283,1.02,0.76,NA
110415541,110415A,0.426,0.186,FALSE,0.219,0.019,166.146,0.810,-81.989,248.629,0.44,0.23,NA
110420946,110420B,0.012,NA,TRUE,0.003,0.001,0.128,0.516,-0.128,0.128,0.97,0.52,NA
110421757,110421A,0.197,NA,TRUE,0.039,0.003,40.449,0.923,-16.443,47.857,0.25,0.17,NA
110422029,110422B,0.025,0.005,FALSE,0.011,0.001,0.320,0.453,-0.267,0.286,0.83,0.38,NA
110424758,110424A,0.029,0.004,FALSE,0.011,0.001,0.672,1.120,-0.356,0.944,1.01,0.4,NA
110426629,110426A,3.890,0.476,FALSE,1.241,0.108,356.357,4.345,-5.933,370.949,0.38,0.12,NA
110428338,110428B,0.207,NA,TRUE,0.065,0.006,101.634,2.919,-53.761,54.151,0.35,0.2,NA
110430375,110430A,1.158,0.154,FALSE,0.310,0.027,32.513,1.717,-3.376,49.598,0.29,0.08,NA
110503145,110503B,0.577,NA,TRUE,0.219,0.019,7.936,1.145,-4.192,11.648,0.26,0.2,NA
110505203,110505A,0.209,NA,TRUE,0.078,0.007,4.096,0.545,-2.420,5.740,0.26,0.21,NA
110509142,110509A,4.423,0.997,FALSE,1.755,0.152,68.864,2.757,-25.701,78.966,0.51,0.2,NA
110509475,110509B,0.031,NA,TRUE,0.008,0.001,0.640,0.779,-0.637,0.637,0.87,0.45,NA
110511616,110511A,0.665,NA,TRUE,0.369,0.032,5.888,1.639,-5.479,6.223,0.48,0.54,NA
110517453,110517A,0.042,0.021,FALSE,0.027,0.002,0.576,1.810,-0.352,0.796,0.67,0.43,NA
110517573,110517A,0.068,NA,TRUE,0.014,0.001,23.040,0.362,-11.661,34.189,0.34,0.21,NA
110520302,110520B,1.089,0.434,FALSE,0.738,0.064,12.288,11.337,-16.583,7.855,0.64,0.43,NA
110521478,110521B,0.482,0.038,FALSE,0.130,0.011,6.141,0.809,-3.037,9.181,0.6,0.16,NA
110522256,110522A,4.687,NA,TRUE,1.476,0.128,28.160,2.673,-22.654,33.384,0.44,0.24,NA
110522296,110522B,1.063,NA,TRUE,0.261,0.023,27.136,1.950,-18.502,35.467,0.85,0.41,NA
